Province,Title,Rating,Price,Address,Phone,Link,Service,Image
An Giang,Quán Cơm Cây Dừa,4,,"95/4 Trần Hưng Đạo, P. Mỹ Phước, Thành phố Long Xuyên, An Giang, Vietnam",+84 296 3844 654,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNM_XqFN6cHZ7fEfJrCjsryvmMFyHNS-BA6oqsm=w122-h92-k-no
An Giang,Quán ăn Ẩm Thực Sông Nước,4,,"CC4C+W7F, P. Bình Đức, Thành phố Long Xuyên, An Giang, Vietnam",+84 904 444 474,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMw7Dg6LUsUt6Qcz7SuYpBjlEyXmB7RfDwHO8Ny=w122-h92-k-no
An Giang,Bun Ca Thao Suong,4,"₫1–100,000","913 Trần Hưng Đạo, p. Bình Khánh, Thành phố Long Xuyên, An Giang, Vietnam",+84 296 3857 715,,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNgfthgP2jiViXjxp4TGhFh4l2Ge1hBaRUIYQM7=w122-h92-k-no
An Giang,PHỐ ĐÊM Garden,4.3,,"6 Lý Thái Tổ, Phường Đông Xuyên, Thành phố Long Xuyên, An Giang, Vietnam",+84 988 177 778,https://www.facebook.com/profile.php?id=100063528098473&mibextid=LQQJ4d,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipM4ypWpTnUtiy1SZBhfRFJCeuwIWvpYIK6aLq0-=w80-h106-k-no
An Giang,Quán Ăn Đại Bửu,4,,"9CFJ+QGM, Lý Thái Tổ, Phường Đông Xuyên, Thành phố Long Xuyên, An Giang, Vietnam",+84 975 004 298,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNskpmxRptWBEtkdomIv9y7hYLJVQaak23Iyvv0=w122-h92-k-no
An Giang,Quán Ăn Tây Sông Hậu,4.1,,"Nguyễn Bỉnh Khiêm, Mỹ Long, Thành phố Long Xuyên, An Giang, Vietnam",+84 937 545 855,https://www.facebook.com/p/Qu%C3%A1n-T%C3%82Y-S%C3%94NG-H%E1%BA%ACU-100054345018550/?locale=vi_VN,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMahL5MDg-x09XMfnqYKZIXi7yk55MWgMTKlo8=w138-h92-k-no
An Giang,Quán ăn Trường Giang,5,,"36a Bùi Văn Danh, Mỹ Long, Thành phố Long Xuyên, An Giang, Vietnam",+84 971 207 952,,"[['Curbside pickup', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO9h5LTe03GpkUGbuZ7r0cxksDCHVmSHNCnynLc=w138-h92-k-no
An Giang,Quán Nhậu Nông Dân,3.9,,"180/08 Nguyễn Văn Linh, P. Mỹ Phước, Thành phố Long Xuyên, An Giang, Vietnam",+84 296 2211 567,,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMj3lmw7ItCKplUTLfANHhzJnS1K-s45mJH06_i=w163-h92-k-no
An Giang,Quán bò tơ Củ Chi Đồng Bằng,4,,"P. Mỹ Phước, Thành phố Long Xuyên, An Giang, Vietnam",+84 976 578 616,https://www.facebook.com/BotoDongBang/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMA7ylBLu_6uS4m3duOAvyjtbtTuIv72ldYGLQM=w122-h92-k-no
An Giang,Thế Giới Ăn Vặt CÀ KÊ WÁN,4.1,,"37 Ung Văn Khiêm, Phường Mỹ Xuyên, Thành phố Long Xuyên, An Giang, Vietnam",+84 986 800 054,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPn069EVzxQJ70b82jB9MHqQopXXpLpkzKh0IsV=w80-h106-k-no
An Giang,DANH KÝ [名記] MÌ SỦI CẢO - HỦ TIẾU MỰC,4,"₫1–100,000","318 Lý Thái Tổ, Phường Mỹ Xuyên, Thành phố Long Xuyên, An Giang 880000, Vietnam",+84 911 199 007,http://hutieudanhquan.io/,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOiXdUf7PBaM2ITlK0PH55jmSvxBvOH19zRSlt4=w92-h92-k-no
An Giang,Lẩu trâu Kiều Thu,4.2,,"122 Đ. Phó Đức Chính, p. Bình Khánh, Thành phố Long Xuyên, An Giang, Vietnam",+84 296 3857 676,https://www.foody.vn/an-giang/lau-trau-kieu-thu,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMZyOc0EjxtSwZESGRm9QyHuiGNeIuSxSnH7tlR=w122-h92-k-no
An Giang,Quán ăn Sáng Út Châu,4,,"10 Hẻm Nguyễn Du, P. Mỹ Bình, Thành phố Long Xuyên, An Giang, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMZyOc0EjxtSwZESGRm9QyHuiGNeIuSxSnH7tlR=w122-h92-k-no
An Giang,Nem Nướng Duyên Hải,4.4,"₫1–100,000","70 Phạm Cự Lượng, Mỹ Quý, Thành phố Long Xuyên, An Giang, Vietnam",+84 916 899 675,,"[['Delivery', 'Drive-through', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMlobHFb8l_IvBP_7PgzdMEHi6Vv7hhEXyr_kZ6=w122-h92-k-no
An Giang,Ẩm thực Sông Hồ Tửu,4,,"Đường Bùi Văn Danh, Mỹ Hoà, Thành phố Long Xuyên, An Giang, Vietnam",+84 915 234 609,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMnD3QUDTbi9WivLIZf4s5sFjVVcpQ6sYNc3K6t=w122-h92-k-no
An Giang,Quán ăn Phương Tuyền,4.7,,"26 Trần Hưng Đạo, P. Mỹ Thới, Thành phố Long Xuyên, An Giang, Vietnam",+84 919 755 736,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMe5srzRUPvU38EDfi30wbMQkVrNYQJk12wsIzG=w92-h92-k-no
