Province,Title,Rating,Price,Address,Phone,Link,Service,Image,
An Giang,Quán C?m Cây D?a,4,,"95/4 Tr?n H?ng ??o, P. M? Ph??c, Thành ph? Long Xuyên, An Giang, Vietnam",+84 296 3844 654,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNM_XqFN6cHZ7fEfJrCjsryvmMFyHNS-BA6oqsm=w122-h92-k-no,
An Giang,Quán ?n ?m Th?c Sông N??c,4,,"CC4C+W7F, P. Bình ??c, Thành ph? Long Xuyên, An Giang, Vietnam",+84 904 444 474,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMw7Dg6LUsUt6Qcz7SuYpBjlEyXmB7RfDwHO8Ny=w122-h92-k-no,
An Giang,Bun Ca Thao Suong,4,"?1–100,000","913 Tr?n H?ng ??o, p. Bình Khánh, Thành ph? Long Xuyên, An Giang, Vietnam",+84 296 3857 715,,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNgfthgP2jiViXjxp4TGhFh4l2Ge1hBaRUIYQM7=w122-h92-k-no,
An Giang,PH? ?ÊM Garden,4.3,,"6 Lý Thái T?, Ph??ng ?ông Xuyên, Thành ph? Long Xuyên, An Giang, Vietnam",+84 988 177 778,https://www.facebook.com/profile.php?id=100063528098473&mibextid=LQQJ4d,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipM4ypWpTnUtiy1SZBhfRFJCeuwIWvpYIK6aLq0-=w80-h106-k-no,
An Giang,Quán ?n ??i B?u,4,,"9CFJ+QGM, Lý Thái T?, Ph??ng ?ông Xuyên, Thành ph? Long Xuyên, An Giang, Vietnam",+84 975 004 298,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNskpmxRptWBEtkdomIv9y7hYLJVQaak23Iyvv0=w122-h92-k-no,
An Giang,Quán ?n Tây Sông H?u,4.1,,"Nguy?n B?nh Khiêm, M? Long, Thành ph? Long Xuyên, An Giang, Vietnam",+84 937 545 855,https://www.facebook.com/p/Qu%C3%A1n-T%C3%82Y-S%C3%94NG-H%E1%BA%ACU-100054345018550/?locale=vi_VN,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMahL5MDg-x09XMfnqYKZIXi7yk55MWgMTKlo8=w138-h92-k-no,
An Giang,Quán ?n Tr??ng Giang,5,,"36a Bùi V?n Danh, M? Long, Thành ph? Long Xuyên, An Giang, Vietnam",+84 971 207 952,,"[['Curbside pickup', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO9h5LTe03GpkUGbuZ7r0cxksDCHVmSHNCnynLc=w138-h92-k-no,
An Giang,Quán Nh?u Nông Dân,3.9,,"180/08 Nguy?n V?n Linh, P. M? Ph??c, Thành ph? Long Xuyên, An Giang, Vietnam",+84 296 2211 567,,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMj3lmw7ItCKplUTLfANHhzJnS1K-s45mJH06_i=w163-h92-k-no,
An Giang,Quán bò t? C? Chi ??ng B?ng,4,,"P. M? Ph??c, Thành ph? Long Xuyên, An Giang, Vietnam",+84 976 578 616,https://www.facebook.com/BotoDongBang/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMA7ylBLu_6uS4m3duOAvyjtbtTuIv72ldYGLQM=w122-h92-k-no,
An Giang,Th? Gi?i ?n V?t CÀ KÊ WÁN,4.1,,"37 Ung V?n Khiêm, Ph??ng M? Xuyên, Thành ph? Long Xuyên, An Giang, Vietnam",+84 986 800 054,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPn069EVzxQJ70b82jB9MHqQopXXpLpkzKh0IsV=w80-h106-k-no,
