province,title,rating,description,address,img,types
Bắc Giang,Công viên Ngô Gia Tự,4.2,,"Ngô Gia Tự, Phường Trần Phú, Bắc Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP23GJw50t3GgwSwNrcEvf4MbdeZVByQ_5SepfE=w163-h92-k-no,"['Điểm thu hút khách du lịch', 'Công viên']"
Bắc Giang,Bách Việt Lake - Hồ Bách Việt,4.6,,"76HC+R34, QL37, Dĩnh Kế, Bắc Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMOmHHrXo3uo11TPMYDia1lw_zTpzkex5rxzr0k=w138-h92-k-no,['Công viên giải trí']
Bắc Kạn,Hồ Nặm Cắt,4.6,,"5R8C+26J, Unnamed Road, Dương Quang, Bắc Kạn, 26000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipO8XlEopNNAe3T5TJEe6bYTVds8LfCNK00TGd3a=w193-h92-k-no,['Đập nước']
Bắc Kạn,Thác Rọom,3.2,,"Quang Thu, Bạch Thông, Bắc Kạn, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPJKcYK_-YrKxO33Zresye9mehEIZPxW3goDvXz=w122-h92-k-no,['Điểm thu hút khách du lịch']
Bắc Ninh,"Khu Vui Chơi XÌ TRUM _Đấu Mã, Bắc Ninh",4.6,,"53RP+3JM, Đấu Mã, P. Thị Cầu, Bắc Ninh, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNw5Y7kX6ts6Xhho087RGbPIS4K4ndOXrI6w4BJ=w163-h92-k-no,['Sân chơi']
Bắc Ninh,Đền Bà Chúa Kho,4.6,"Ngôi đền tinh xảo có tượng lộng lẫy. Ngôi đền cổ thờ Bà Chúa Kho, có điện thờ tinh xảo, tượng sơn son thếp vàng và tổ chức lễ hội đền hằng năm.","Khu, Cổ Mễ, Tp. Bắc Ninh, Bắc Ninh 790000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPRVPtxjuJeRBliFTbgV5X3hII7YSDfzQR1qczG=w80-h106-k-no,"['Điểm thu hút khách du lịch', 'Nơi thờ cúng', 'Địa điểm hành hương']"
Bắc Ninh,Vườn hoa Bắc Ninh,4.1,,"53P9+8F3, Kinh Bắc, Bắc Ninh, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOao45VaPvLmn_44ils1smEBMgdvlkmdZdCDlN_=w122-h92-k-no,['Công viên']
Bến Tre,Khu Du lịch - Văn Hóa & Thể Thao Lan Vương,4.2,Trung tâm hoạt động ngoài trời có nhà hàng. Khu phức hợp du lịch phiêu lưu có nhà hàng và các hoạt động xây dựng đội nhóm như đi thuyền và băng qua cầu treo.,"ĐT887, Phú Nhuận, Bến Tre, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP2yamYQspeYfkXOdX2hjUrUCJTmojOF1zYqQyK=w163-h92-k-no,"['Điểm thu hút khách du lịch', 'Đại lý du lịch bằng thuyền', 'Đại lý du lịch tham quan', 'Nhà điều hành du lịch']"
Bến Tre,Du lịch Phú An Khang,4,,"68VV+46R, 319 Phú Lợi, Bình Phú, Bến Tre, 930000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMZnIfItyhc6tfAK96qTB861J9yj0h8UzBJ-iBl=w80-h120-k-no,['Điểm thu hút khách du lịch']
Bến Tre,Khu du lịch sinh thái Hạ Thảo - Homestay Hạ Thảo,4,,"Nhơn Thạnh, Bến Tre, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOpygb4czYpNEOrwAiGoTbMV1C0XV2_HxGhNrNh=w163-h92-k-no,['Điểm thu hút khách du lịch']
Bến Tre,Công viên tượng đài Hoàng Lam,4.3,,"69M9+7GR, Phường 5, Bến Tre, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOg8EVCUgHLL5TNXAT4M0bB13Q8_gB8nYwK9x5o=w163-h92-k-no,['Công viên']
Bình Dương,Suối Trúc,4,"Con suối lởm chởm đá có nhiều thác nước nhỏ. Con suối êm ả chảy trên những tảng đá lớn, có nhiều thác nước nhỏ và hồ nước cho du khách bơi lội.","Định Thành, Dầu Tiếng, Bình Dương, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMewkIxZwg_eHbqfcV-gk66rA4IorKcI6iR4cHU=w122-h92-k-no,['Điểm thu hút khách du lịch']
Bình Dương,Bãi Đá Trứng,4.3,,"Unnamed, Road, Dầu Tiếng, Bình Dương, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipO6OPclt2-NpGDb8AiMCkOmJbhaTkVxCkWCx3dy=w122-h92-k-no,['Điểm thu hút khách du lịch']
Bình Dương,Vườn thú Đại Nam,4.4,"Công viên động vật trong rừng và thảo nguyên. Công viên tự nhiên có môi trường sống nhân tạo cho hơn 600 con vật, trong đó có hổ và hươu cao cổ.","2JXG+G42, Tân Định, Bến Cát, Bình Dương 823480, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPoJ213S-NZ5hC1nEmLawoO66yE7BHVABqn63Me=w189-h92-k-no,"['Điểm thu hút khách du lịch', 'Vườn bách thú']"
Bình Dương,Khu Du Lịch Sinh Thái Đọt Champa,3.8,,"Định An, Dầu Tiếng, Bình Dương, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNaTjkITiYza3bb4UEAsilbcu6Yx6ABspTLuoPw=w163-h92-k-no,['Khu bảo tồn thiên nhiên']
Bình Dương,Bằng Lăng Glamping - Dầu Tiếng Sea Lake,4.4,,"C92H+F2, Định An, Dầu Tiếng, Bình Dương, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOh38kljls2hpSn7xPFHO3GZ7_aueqon7i3FjSA=w204-h92-k-no,"['Hồ bơi', 'Khu cắm trại', 'Quán cà phê', 'Sân chơi']"
Bình Dương,Công viên nước Thủ Dầu Một (Vườn Điều),4,"Công viên giải trí có bể bơi và đường trượt nước. Công viên nhỏ dành cho gia đình, có nhà hàng, sông lười cùng nhiều khu trò chơi té nước và đường trượt nước uốn lượn.","563 Đại lộ Bình Dương, Hiệp Thành, Thủ Dầu Một, Bình Dương, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipO1FdK1PbUY3YFpRl26-d7B-to07QsUZgfobHCt=w138-h92-k-no,"['Điểm thu hút khách du lịch', 'Công viên nước']"
Bình Dương,Khu vui chơi giải trí,,,"2JHH+4J9, Tân An, Thủ Dầu Một, Bình Dương, Việt Nam",,['Điểm thu hút khách du lịch']
Bình Định,Núi Bà Hoả,4.4,,"Q6H9+X54, Lê Hồng Phong, Quy Nhơn, Bình Định, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOVlqym6DsGbtJkIbrE39wzFZlF93f_D5dMVzg=w163-h92-k-no,['Điểm thu hút khách du lịch']
Bình Định,Khu DU LỊCH Cửa Biển,3.7,,"Hội Sơn, Quy Nhơn, Bình Định 59000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPbWSIUldkduqj4ttJ9Wa0tfUSFW14V2TCKX2R8=w137-h92-k-no,"['Điểm thu hút khách du lịch', 'Khu vực nướng', 'Khu cắm trại', 'Khu trẻ em', 'Khu bể bơi', 'Khách sạn nghỉ dưỡng', 'Công viên giải trí']"
Bình Định,Đỉnh núi Bà Hỏa,4.5,,"Q6G6+P59, Quang Trung, Quy Nhơn, Bình Định, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP6Qhai1aJ4-0q2MTtNjzGXA4MDSfhiyv8QCAvL=w163-h92-k-no,['Điểm thu hút khách du lịch']
