province,title,rating,description,address,img,types,Link,
B?c Giang,Công viên Ngô Gia T?,4.2,Thi?t k? công viên Ngô Gia T? – Thành ph? B?c Giang,"Ngô Gia T?, Ph??ng Tr?n Phú, B?c Giang, Vi?t Nam",https://greenhouse.com.vn/upload/data/images/du-an/Thiet-ke-quy-hoach/thiet-ke-cong-vien-ngo-gia-tu-thanh-pho-bac-giang/phoi-canh-tong-the-3.jpg,"['?i?m thu hút khách du l?ch', 'Công viên']",https://greenhouse.com.vn/thiet-ke-cong-vien-ngo-gia-tu---thanh-pho-bac-giang-318,
B?c Giang,Bách Vi?t Lake - H? Bách Vi?t,4.6,Khu ?ô th? Bách Vi?t Lake Garden B?c Giang - CafeLand.Vn,"76HC+R34, QL37, D?nh K?, B?c Giang, Vi?t Nam",https://cafeland.vn/image-data/720-480/static1.cafeland.vn/cafelandnew/imagedata/tintuc/duan/2019/01/tuan-04/khu-do-thi%CC%A3-bach-viet-lake-garden-bac-giang-1546957140.jpg,['Công viên gia?i trí'],https://cafeland.vn/du-an/khu-do-thi-bach-viet-lake-garden-bac-giang-2104.html,
B?c K?n,H? N?m C?t,4.6,H? ch?a n??c N?m C?t ??t trên 12 tri?u mét kh?i | C?ng thông tin ?i?n t? thành ph? B?c K?n,"5R8C+26J, Unnamed Road, D??ng Quang, B?c K?n, 26000, Vi?t Nam",https://backancity.gov.vn/wp-content/uploads/2024/09/img-3496-9624.jpg,['??p n??c'],https://backancity.gov.vn/ho-chua-nuoc-nam-cat-dat-tren-12-trieu-met-khoi/,
B?c K?n,Thác R?om,3.2,Thác Ro?m | Du l?ch B?ch Thông | Dulich24.com.vn,"Quang Thu, B?ch Thông, B?c K?n, Vi?t Nam",https://cdn.media.dulich24.com.vn/diemden/thac-room-5254/thac-room-2.jpg,['?i?m thu hút khách du l?ch'],https://dulich24.com.vn/du-lich-huyen-bach-thong/thac-room-id-5254,
B?c Ninh,"Khu Vui Ch?i XÌ TRUM _??u Mã, B?c Ninh",4.6,T?ng H?p 5+ Khu Vui Ch?i Tr? Em B?c Ninh Xinh Lung Linh,"53RP+3JM, ??u Mã, P. Th? C?u, B?c Ninh, Vi?t Nam",https://thietkekhuvuichoitreem.pro/wp-content/uploads/2024/07/Tro-choi-van-dong-khu-vui-choi-Xi-Trum.jpg,['Sân ch?i'],https://thietkekhuvuichoitreem.pro/2024/07/23/khu-vui-choi-tre-em-bac-ninh/,
B?c Ninh,??n Bà Chúa Kho,4.6,??n Bà Chúa Kho ? ?âu? Cách c?u tài l?c t?i ngôi ??n linh thiêng.,"Khu, C? M?, Tp. B?c Ninh, B?c Ninh 790000, Vi?t Nam",http://bizweb.dktcdn.net/100/349/716/files/den-ba-chua-kho-1.png?v=1713518511278,"['?i?m thu hút khách du l?ch', 'N?i th? cúng', '??a ?i?m hành h??ng']",https://lug.vn/den-ba-chua-kho,
B?c Ninh,V??n hoa B?c Ninh,4.1,B?c Ninh c?ng có V??n Hoa tuy?t ??p ??????,"53P9+8F3, Kinh B?c, B?c Ninh, Vi?t Nam",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=380165906756711,['Công viên'],https://www.facebook.com/VeDepBacNinh/posts/b%E1%BA%AFc-ninh-c%C5%A9ng-c%C3%B3-v%C6%B0%E1%BB%9Dn-hoa-tuy%E1%BB%87t-%C4%91%E1%BA%B9p-/4014096898617846/,
B?n Tre,Khu Du l?ch - V?n Hóa & Th? Thao Lan V??ng,4.2,Khu Du L?ch Lan V??ng - ?i?m ??n ??c Bi?t Cho ?oàn Công Ty,"?T887, Phú Nhu?n, B?n Tre, Vi?t Nam",https://dulichocean.vn/wp-content/uploads/2024/07/khu-du-lich-lan-vuong-co-gi.jpg,"['?i?m thu hút khách du l?ch', '??i lý du l?ch b?ng thuy?n', '??i lý du l?ch tham quan', 'Nhà ?i?u hành du l?ch']",https://dulichocean.vn/khu-du-lich-lan-vuong-co-gi/,
B?n Tre,Du l?ch Phú An Khang,4,Kinh nghi?m ?i khu du l?ch Phú An Khang n?i ti?ng t?i B?n Tre,"68VV+46R, 319 Phú L?i, Bình Phú, B?n Tre, 930000, Vi?t Nam",https://dulichvietnam.com.vn/kinh-nghiem/wp-content/uploads/2020/02/kinh-nghiem-di-khu-du-lich-phu-an-khang-1.jpg,['?i?m thu hút khách du l?ch'],https://dulichvietnam.com.vn/kinh-nghiem/kinh-nghiem-di-khu-du-lich-phu-an-khang/,
B?n Tre,Khu du l?ch sinh thái H? Th?o - Homestay H? Th?o,4,"Review Khu Du L?ch H? Th?o B?n Tre ? ?âu, Giá Vé 2022 - Review Kinh Nghi?m Du L?ch Tham Quan ?i Ph??t Vi?t Nam","Nh?n Th?nh, B?n Tre, Vi?t Nam",https://bietthungoctrai.vn/wp-content/uploads/2019_1_15_10_41_47_664.jpg,['?i?m thu hút khách du l?ch'],https://bietthungoctrai.vn/khu-du-lich-ha-thao-ben-tre/,
B?n Tre,Công viên t??ng ?ài Hoàng Lam,4.3,Công Viên T??ng ?ài Trên Sông - Th?m Quan Công Viên T??ng ?ài Hoàng Lam - YouTube,"69M9+7GR, Ph??ng 5, B?n Tre, Vi?t Nam",https://i.ytimg.com/vi/S-_GmbjimLU/default.jpg,['Công viên'],https://www.youtube.com/watch?v=S-_GmbjimLU,
Bình D??ng,Suô?i Tru?c,4,"M?o"" Cho Chuy?n C?m Tr?i Su?i Trúc Tây Ninh Hoàn H?o H?n - Kamp - Cho Thuê L?u","??nh Thành, D?u Ti?ng, Bình D??ng, Vi?t Nam",https://kamp.vn/wp-content/uploads/2023/04/suoi-truc-tay-ninh.jpg,['?i?m thu hút khách du l?ch'],https://kamp.vn/suoi-truc-tay-ninh/,
Bình D??ng,Bãi ?á Tr?ng,4.3,"Du l?ch Quy Nh?n t? túc, Khám phá bãi ?á Tr?ng khi du l?ch Quy Nh?n t? túc cùng b?n thân","Unnamed, Road, D?u Ti?ng, Bình D??ng, Vi?t Nam",https://dulichtour.vn/wp-content/uploads/2019/09/2-84.jpg,['?i?m thu hút khách du l?ch'],https://dulichtour.vn/kham-pha-bai-da-trung-khi-du-lich-quy-nhon-tu-tuc-cung-ban.html,
Bình D??ng,V??n thú ??i Nam,4.4,Tham Quan V??n Thú ??i Nam || Khu Du L?ch ??i Nam || Quê Tôi Mi?n ?ông - YouTube,"2JXG+G42, Tân ??nh, B?n Cát, Bình D??ng 823480, Vi?t Nam",https://i.ytimg.com/vi/jay6WfpFp2w/maxresdefault.jpg,"['?i?m thu hút khách du l?ch', 'V??n bách thú']",https://www.youtube.com/watch?v=jay6WfpFp2w,
Bình D??ng,Khu Du L?ch Sinh Thái ??t Champa,3.8,"Review Khu Du L?ch H? Th?o B?n Tre ? ?âu, Giá Vé 2022 - Review Kinh Nghi?m Du L?ch Tham Quan ?i Ph??t Vi?t Nam","??nh An, D?u Ti?ng, Bình D??ng, Vi?t Nam",https://bietthungoctrai.vn/wp-content/uploads/2019_1_15_10_41_47_664.jpg,['Khu b?o t?n thiên nhiên'],https://bietthungoctrai.vn/khu-du-lich-ha-thao-ben-tre/,
Bình D??ng,B?ng L?ng Glamping - D?u Ti?ng Sea Lake,4.4,Công Viên T??ng ?ài Trên Sông - Th?m Quan Công Viên T??ng ?ài Hoàng Lam - YouTube,"C92H+F2, ??nh An, D?u Ti?ng, Bình D??ng, Vi?t Nam",https://i.ytimg.com/vi/S-_GmbjimLU/default.jpg,"['H? b?i', 'Khu c?m tr?i', 'Quán cà phê', 'Sân ch?i']",https://www.youtube.com/watch?v=S-_GmbjimLU,
Bình D??ng,Công viên n??c Th? D?u M?t (V??n ?i?u),4,"M?o"" Cho Chuy?n C?m Tr?i Su?i Trúc Tây Ninh Hoàn H?o H?n - Kamp - Cho Thuê L?u","563 ??i l? Bình D??ng, Hi?p Thành, Th? D?u M?t, Bình D??ng, Vi?t Nam",https://kamp.vn/wp-content/uploads/2023/04/suoi-truc-tay-ninh.jpg,"['?i?m thu hút khách du l?ch', 'Công viên n??c']",https://kamp.vn/suoi-truc-tay-ninh/,
Bình D??ng,Khu vui ch?i gi?i trí,,"Du l?ch Quy Nh?n t? túc, Khám phá bãi ?á Tr?ng khi du l?ch Quy Nh?n t? túc cùng b?n thân","2JHH+4J9, Tân An, Th? D?u M?t, Bình D??ng, Vi?t Nam",https://dulichtour.vn/wp-content/uploads/2019/09/2-84.jpg,['?i?m thu hút khách du l?ch'],https://dulichtour.vn/kham-pha-bai-da-trung-khi-du-lich-quy-nhon-tu-tuc-cung-ban.html,
